fault,tier,controller,scenario_id,seed,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,previous_feasible_control_count,constraint_tightening_count,lqr_safe_mode_count,fault_active_count,trajectory_csv,metrics_json
stuck_flap,fault_injection,residual_nmpc_no_fallback,0,1511,0.0470560509917954,0.0735928217150689,0.044034357593592,16.9825,0.0,0.7757009345794392,29,0,False,False,alpha_corridor_violation,0,0,0,251,outputs/phase15_fault_injection/stuck_flap/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/stuck_flap/residual_nmpc_no_fallback/metrics.json
stuck_flap,fault_injection,residual_nmpc_with_fallback,0,1511,0.0470560509917954,0.0735928217150689,0.044034357593592,16.9825,0.0,0.7757009345794392,29,0,False,False,alpha_corridor_violation,0,37,0,251,outputs/phase15_fault_injection/stuck_flap/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/stuck_flap/residual_nmpc_with_fallback/metrics.json
reduced_flap_effectiveness,fault_injection,residual_nmpc_no_fallback,0,1511,0.04786278127026265,0.07427275460566357,0.04412795744090757,54.55077669679716,0.0,0.024922118380062305,34,0,False,False,alpha_corridor_violation,0,0,0,251,outputs/phase15_fault_injection/reduced_flap_effectiveness/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/reduced_flap_effectiveness/residual_nmpc_no_fallback/metrics.json
reduced_flap_effectiveness,fault_injection,residual_nmpc_with_fallback,0,1511,0.04786278127141266,0.07427275460760657,0.04412795744067212,54.55077671706801,0.0,0.024922118380062305,34,0,False,False,alpha_corridor_violation,0,39,0,251,outputs/phase15_fault_injection/reduced_flap_effectiveness/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/reduced_flap_effectiveness/residual_nmpc_with_fallback/metrics.json
biased_alpha_measurement,fault_injection,residual_nmpc_no_fallback,0,1511,0.05153094026876702,0.0762656455289008,0.04386568849072579,50.65742252527562,0.0,0.028037383177570093,48,0,False,False,alpha_corridor_violation,0,0,0,271,outputs/phase15_fault_injection/biased_alpha_measurement/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/biased_alpha_measurement/residual_nmpc_no_fallback/metrics.json
biased_alpha_measurement,fault_injection,residual_nmpc_with_fallback,0,1511,0.05159162886035639,0.0762656455289008,0.04394136503635177,51.328430502613,0.0,0.0778816199376947,48,0,False,False,alpha_corridor_violation,0,31,0,271,outputs/phase15_fault_injection/biased_alpha_measurement/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/biased_alpha_measurement/residual_nmpc_with_fallback/metrics.json
delayed_actuator,fault_injection,residual_nmpc_no_fallback,0,1511,0.051691525235275274,0.07626564551303305,0.04407699158503231,51.733915747493995,0.0,0.028037383177570093,48,0,False,False,alpha_corridor_violation,0,0,0,261,outputs/phase15_fault_injection/delayed_actuator/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/delayed_actuator/residual_nmpc_no_fallback/metrics.json
delayed_actuator,fault_injection,residual_nmpc_with_fallback,0,1511,0.051680206771942364,0.0762656455289008,0.04408163723311375,51.78002952044082,0.0,0.03115264797507788,48,0,False,False,alpha_corridor_violation,0,47,0,261,outputs/phase15_fault_injection/delayed_actuator/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/delayed_actuator/residual_nmpc_with_fallback/metrics.json
sudden_density_jump,fault_injection,residual_nmpc_no_fallback,0,1511,0.054216783254194933,0.0790509954729911,0.04379531329263522,49.54726136967057,0.0,0.04361370716510903,94,0,False,False,alpha_corridor_violation,0,0,0,231,outputs/phase15_fault_injection/sudden_density_jump/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/sudden_density_jump/residual_nmpc_no_fallback/metrics.json
sudden_density_jump,fault_injection,residual_nmpc_with_fallback,0,1511,0.054216783258638615,0.07905099548553199,0.043795313292000156,49.54726139674666,0.0,0.04361370716510903,94,0,False,False,alpha_corridor_violation,0,45,0,231,outputs/phase15_fault_injection/sudden_density_jump/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/sudden_density_jump/residual_nmpc_with_fallback/metrics.json
large_unmodeled_disturbance,fault_injection,residual_nmpc_no_fallback,0,1511,0.0395528568920141,0.07036875544680976,0.05346191882096645,54.288624142246775,0.0,0.03426791277258567,0,0,False,True,unstable_response,0,0,0,241,outputs/phase15_fault_injection/large_unmodeled_disturbance/residual_nmpc_no_fallback/trajectory.csv,outputs/phase15_fault_injection/large_unmodeled_disturbance/residual_nmpc_no_fallback/metrics.json
large_unmodeled_disturbance,fault_injection,residual_nmpc_with_fallback,0,1511,0.03955285688107444,0.07036875544680976,0.053461918819160445,54.288624147971,0.0,0.03426791277258567,0,0,False,True,unstable_response,0,25,0,241,outputs/phase15_fault_injection/large_unmodeled_disturbance/residual_nmpc_with_fallback/trajectory.csv,outputs/phase15_fault_injection/large_unmodeled_disturbance/residual_nmpc_with_fallback/metrics.json
