tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,control_dt_s,horizon_steps,planning_alpha_buffer_rad,scenario_count_requested,reference_duration_s,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,nominal_nmpc_2s,0.07129089632614811,0.1138317145695546,0.03730054056481806,48.57721561663455,0.0,0.13395638629283488,123,0,False,False,alpha_corridor_violation,51.0,low,0.04383171456955459,0.0,61.5,0.0,False,0.033988964478743985,0.039633666980080307,2.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/nominal_nmpc_2s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/nominal_nmpc_2s/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,fast_nmpc_1s,0.06917976301868103,0.11402735278783599,0.03809762369022653,48.601833533231186,0.0,0.09968847352024922,123,0,False,False,alpha_corridor_violation,51.0,low,0.04402735278783598,0.0,61.5,0.0,False,0.033018595197741286,0.04003254201961681,1.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/fast_nmpc_1s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/fast_nmpc_1s/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,fast_nmpc_0p5s,0.06872411773693266,0.1142028904854106,0.03841993535680143,46.95791579652969,0.0,0.0529595015576324,124,0,False,False,alpha_corridor_violation,51.0,low,0.044202890485410595,0.0,62.0,0.0,False,0.03279764047984144,0.03869020799174905,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/fast_nmpc_0p5s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/fast_nmpc_0p5s/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,corridor_centered_nmpc,0.06851773195734857,0.11422673338087003,0.038671708941329,50.2451878784677,0.0,0.018691588785046728,124,0,False,False,alpha_corridor_violation,51.0,low,0.04422673338087002,0.0,62.0,0.0,False,0.032691454282393125,0.03819129103794694,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/corridor_centered_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/corridor_centered_nmpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,corridor_barrier_nmpc,0.06850280374295319,0.1142170367693357,0.03868064743975579,49.93588770549411,0.0,0.021806853582554516,124,0,False,False,alpha_corridor_violation,51.0,low,0.044217036769335694,0.0,62.0,0.0,False,0.033491501583923756,0.03944495797622949,0.5,10,0.015,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/corridor_barrier_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/corridor_barrier_nmpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,success_recovery_nmpc,0.0685466709917966,0.11424055957555024,0.038647743009086216,50.253264885609966,0.0,0.024922118380062305,124,0,False,False,alpha_corridor_violation,51.0,low,0.04424055957555023,0.0,62.0,0.0,False,0.03340112396539116,0.03925270802574232,0.5,10,0.012,12,160.0,outputs/phase16_success_recovery/moderate/scenario_000/success_recovery_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_000/success_recovery_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,nominal_nmpc_2s,0.051360136551369666,0.08803623897248813,0.040310648660256736,47.77294223834203,0.0,0.09345794392523364,65,0,False,False,alpha_corridor_violation,55.0,low,0.018036238972488128,0.0,32.5,0.0,False,0.033051799381307014,0.039730000018607825,2.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/nominal_nmpc_2s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/nominal_nmpc_2s/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,fast_nmpc_1s,0.047652024684572775,0.08834216381657864,0.04149138099913762,46.4225557159516,0.0,0.08099688473520249,65,0,False,False,alpha_corridor_violation,55.0,low,0.018342163816578633,0.0,32.5,0.0,False,0.03246563254285789,0.039720207976642996,1.0,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/fast_nmpc_1s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/fast_nmpc_1s/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,fast_nmpc_0p5s,0.046956557588617054,0.08854885398155041,0.04186385865878495,43.707255271241536,0.0,0.0,66,0,False,False,alpha_corridor_violation,54.5,low,0.0185488539815504,0.0,33.0,0.0,False,0.03200540991428938,0.03872087498893961,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/fast_nmpc_0p5s/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/fast_nmpc_0p5s/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,corridor_centered_nmpc,0.04623675290156926,0.08848853080374883,0.04243441606492003,45.758796508290644,0.0,0.0,66,0,False,False,alpha_corridor_violation,54.5,low,0.01848853080374882,0.0,33.0,0.0,False,0.03181730491537862,0.03783008398022503,0.5,10,0.0,12,160.0,outputs/phase16_success_recovery/moderate/scenario_001/corridor_centered_nmpc/trajectory.csv,outputs/phase16_success_recovery/moderate/scenario_001/corridor_centered_nmpc/metrics.json
