tier,controller,scenario_count,success_count,success_rate,mean_rms_alpha_error_rad,median_max_alpha_miss_rad,mean_alpha_violation_count,mean_first_alpha_violation_time_s,p95_solve_time_s,nominal_success_rate,success_rate_delta_vs_nominal
moderate,corridor_barrier_nmpc,12,2,0.16666666666666666,0.04586886965999351,0.01718009570791114,45.416666666666664,31.9,0.03823934350900041,0.25,-0.08333333333333334
moderate,corridor_centered_nmpc,12,2,0.16666666666666666,0.0458233218577555,0.01717663086606315,45.416666666666664,31.9,0.03572424991580192,0.25,-0.08333333333333334
moderate,fast_nmpc_0p5s,12,2,0.16666666666666666,0.04647531422169876,0.01720679245755788,45.416666666666664,31.9,0.03670521191088483,0.25,-0.08333333333333334
moderate,fast_nmpc_1s,12,2,0.16666666666666666,0.04717827582265958,0.017096220220864433,45.0,32.05,0.036937343839478366,0.25,-0.08333333333333334
moderate,nominal_nmpc_2s,12,3,0.25,0.05061248072669649,0.016940136943855266,44.083333333333336,28.166666666666668,0.036442395838093944,0.25,0.0
moderate,success_recovery_nmpc,12,2,0.16666666666666666,0.045822920359067765,0.01718044326214485,45.416666666666664,31.9,0.03763057633962793,0.25,-0.08333333333333334
stress,corridor_barrier_nmpc,12,0,0.0,0.07160699858141954,0.056419227640870234,108.75,25.75,0.03670309692097362,0.0,0.0
stress,corridor_centered_nmpc,12,0,0.0,0.07156756651511362,0.056419227640973596,108.83333333333333,25.708333333333332,0.03610130900051445,0.0,0.0
stress,fast_nmpc_0p5s,12,0,0.0,0.07198244840331883,0.056419227640890135,108.75,25.75,0.0368307640067845,0.0,0.0
stress,fast_nmpc_1s,12,0,0.0,0.07236383264637876,0.056397979845404345,108.41666666666667,25.791666666666668,0.038320461908976235,0.0,0.0
stress,nominal_nmpc_2s,12,0,0.0,0.0743489924250373,0.05638932028587135,108.16666666666667,25.833333333333332,0.036944829839436956,0.0,0.0
stress,success_recovery_nmpc,12,0,0.0,0.07156770585187362,0.05641922764087856,108.83333333333333,25.708333333333332,0.03714429841784295,0.0,0.0
