tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,first_alpha_violation_time_s,first_alpha_violation_side,max_alpha_corridor_miss_rad,max_q_corridor_miss_radps,alpha_violation_duration_s,q_violation_duration_s,first_alpha_violation_before_three_updates,mean_solve_time_s,p95_solve_time_s,controlled_recovery,controlled_recovery_max_alpha_miss_rad,controlled_recovery_max_q_miss_radps,initial_alpha_rad,initial_q_radps,initial_alpha_dot_radps,earliest_linear_boundary_time_s,actuator_delay_plus_lag_s,delay_limited_initial_condition,early_open_loop_alpha_miss_rad,early_best_emergency_alpha_miss_rad,early_feasible_under_emergency,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,actuator_aware_safety_nmpc,0.06942872019408258,0.11420301692389576,0.040976381015140104,24.39126653633626,0.0,0.0,59,0,False,False,alpha_corridor_violation,51.0,low,0.04420301692389575,0.0,29.5,0.0,False,0.03496106136019012,0.05580345803173259,False,0.04420301692389575,0.0,0.08473285649220952,0.04330265002520312,0.02466142159691703,4.309043705780333,0.672460084735908,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_000/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_000/actuator_aware_safety_nmpc/metrics.json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,governed_safety_nmpc,0.0694278012608496,0.11420173659481303,0.040974388167099245,25.681507450477504,0.0,0.0,59,0,False,False,alpha_corridor_violation,51.0,low,0.044201736594813024,0.0,29.5,0.0,False,0.02648023502237412,0.04774808301590383,False,0.044201736594813024,0.0,0.08473285649220952,0.04330265002520312,0.02466142159691703,4.309043705780333,0.672460084735908,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_000/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_000/governed_safety_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,actuator_aware_safety_nmpc,0.05520530683269593,0.08854360929138572,0.041755217020606826,23.1507094177149,0.0,0.0,52,0,False,False,alpha_corridor_violation,54.5,low,0.01854360929138571,0.0,26.0,0.0,False,0.054234665954450825,0.0730173330521211,True,0.01854360929138571,0.0,0.07783076745761933,0.03714670999968067,0.02002394115900442,5.651696219227573,0.19047425565328424,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_001/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_001/actuator_aware_safety_nmpc/metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,governed_safety_nmpc,0.0552445896469092,0.08860121011394997,0.041742928180044964,25.020001072076575,0.0,0.0,52,0,False,False,alpha_corridor_violation,54.5,low,0.018601210113949967,0.0,26.0,0.0,False,0.06512107609037993,0.1265730420127511,True,0.018601210113949967,0.0,0.07783076745761933,0.03714670999968067,0.02002394115900442,5.651696219227573,0.19047425565328424,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_001/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_001/governed_safety_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,actuator_aware_safety_nmpc,0.046651672727375665,0.07158528291003083,0.04529083273652067,23.97009735800392,0.0,0.0,11,0,False,False,alpha_corridor_violation,67.0,low,0.0015852829100308219,0.0,5.5,0.0,False,0.022287270214382607,0.024634832981973886,True,0.0015852829100308219,0.0,0.08011232494696882,0.04028607392345165,0.022661362435118505,4.893248381270652,0.6378375551764043,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_002/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_002/actuator_aware_safety_nmpc/metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,governed_safety_nmpc,0.04667203149372999,0.07162461260049993,0.04528198281240542,25.385796747801972,0.0,0.0,11,0,False,False,alpha_corridor_violation,67.0,low,0.001624612600499925,0.0,5.5,0.0,False,0.043109927690148306,0.07463650003774092,True,0.001624612600499925,0.0,0.08011232494696882,0.04028607392345165,0.022661362435118505,4.893248381270652,0.6378375551764043,False,0.0,0.0,True,outputs/phase17_feasibility_safety/moderate/scenario_002/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/moderate/scenario_002/governed_safety_nmpc/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,actuator_aware_safety_nmpc,0.07609844299360242,0.13486239894483007,0.05965393140644103,25.072275591142883,0.0,0.0,65,0,False,False,alpha_corridor_violation,3.0,high,0.06486239894483006,0.0,32.5,0.0,False,0.04748625645192733,0.058103791961912066,False,0.06486239894483006,0.0,0.11552852057005283,0.06199563661947019,0.03657936209405857,2.0632256854529913,1.7561823986804392,False,0.06383756081227818,0.0637690223337529,False,outputs/phase17_feasibility_safety/stress/scenario_000/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_000/actuator_aware_safety_nmpc/metrics.json
stress,0,10055,0.8378955015168319,0.8134079790400522,0.7897704751772718,0.6506121034875804,0.25618239868043924,1.5,0.00549036831476468,0.0016894853408081832,0.007680079439061039,-0.004471479429947158,0.06201083925618894,0.04666073176012917,-2194.1579157675574,governed_safety_nmpc,0.07609625073951154,0.1348623989448048,0.05965550422773411,26.211849696527313,0.0,0.0,65,0,False,False,alpha_corridor_violation,3.0,high,0.0648623989448048,0.0,32.5,0.0,False,0.04913971892714223,0.05867941601900384,False,0.0648623989448048,0.0,0.11552852057005283,0.06199563661947019,0.03657936209405857,2.0632256854529913,1.7561823986804392,False,0.06383756081227818,0.0637690223337529,False,outputs/phase17_feasibility_safety/stress/scenario_000/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_000/governed_safety_nmpc/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,actuator_aware_safety_nmpc,0.05405096771462246,0.08305958501481436,0.04501397400120237,21.670460019512458,0.0,0.0,41,0,False,False,alpha_corridor_violation,60.0,low,0.013059585014814357,0.0,20.5,0.0,False,0.0229050408740042,0.025787374994251877,True,0.013059585014814357,0.0,0.05922336186556003,0.043676581488976164,0.030647441878552957,4.299759786041298,1.6573352173100182,False,0.0,0.0,True,outputs/phase17_feasibility_safety/stress/scenario_001/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_001/actuator_aware_safety_nmpc/metrics.json
stress,1,10056,0.9303608946512464,0.8454174308359381,1.2293875720674339,0.6485713174581409,0.6573352173100183,1.0,0.003974919790454923,0.001090421166685319,0.006246505115645126,-0.06077663813443997,0.04369178412569492,0.011423261993863554,-68.50071747811049,governed_safety_nmpc,0.05408988675067023,0.08312857597744785,0.044998699125043125,24.3168213242268,0.0,0.0,41,0,False,False,alpha_corridor_violation,60.0,low,0.013128575977447848,0.0,20.5,0.0,False,0.040712957084974306,0.0786695420392789,True,0.013128575977447848,0.0,0.05922336186556003,0.043676581488976164,0.030647441878552957,4.299759786041298,1.6573352173100182,False,0.0,0.0,True,outputs/phase17_feasibility_safety/stress/scenario_001/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_001/governed_safety_nmpc/metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,actuator_aware_safety_nmpc,0.045663634309417715,0.08082462619949293,0.05773437213906041,26.79604179406134,0.0,0.0,31,0,False,False,alpha_corridor_violation,9.0,high,0.010824626199492926,0.0,15.5,0.0,False,0.04555298626836482,0.05952629103558138,True,0.010824626199492926,0.0,0.07839380400208648,0.04667776517874292,0.029431128298283895,3.8260917099967076,1.2586107576985939,False,0.008294703267155284,0.00822063103738399,False,outputs/phase17_feasibility_safety/stress/scenario_002/actuator_aware_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_002/actuator_aware_safety_nmpc/metrics.json
stress,2,10057,0.8866800433930975,0.9276352786236607,0.7499245797839396,0.7309926130233437,0.2586107576985939,1.0,0.004478437066488493,0.0012923100994562892,0.005160534056958272,-0.041606195997913514,0.04669296781546167,-0.02284003464815019,6107.333239994104,governed_safety_nmpc,0.04565706324487308,0.0808157956011005,0.05773146552814531,27.155877511176286,0.0,0.0,31,0,False,False,alpha_corridor_violation,9.0,high,0.010815795601100492,0.0,15.5,0.0,False,0.04588733905143978,0.058201000036206096,True,0.010815795601100492,0.0,0.07839380400208648,0.04667776517874292,0.029431128298283895,3.8260917099967076,1.2586107576985939,False,0.008294703267155284,0.00822063103738399,False,outputs/phase17_feasibility_safety/stress/scenario_002/governed_safety_nmpc/trajectory.csv,outputs/phase17_feasibility_safety/stress/scenario_002/governed_safety_nmpc/metrics.json
