tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,21,76,slack_oracle,0.0,0.0804937134625345,0.040321597474993816,0.06226840495593277,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.03950628653746549,0.04033680011171257,-0.017731595044067232,0.0,0.17999998753863822,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,1.0,0.1007906605193813,0.040318667198492676,0.10258893185080172,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.01930107473439098,0.040379192100836424,0.022619273647676713,0.11999999169242546,0.32373050121621294,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,2.0,0.11707581388159025,0.04031355920795296,0.14290547114026367,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.0032876977782177047,0.040433879032171716,0.06302633051526367,0.25582033137495047,0.3499999821174435,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,3.0,0.13013965386607712,0.040307206590423666,0.1832160685051324,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.009329468680891934,0.04048655961776741,0.10348685952075738,0.31860676520327913,0.34999998719592346,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,4.0,0.14061754493834552,0.040300170081317935,0.22351984756396395,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.01919093314136336,0.04053779459303668,0.14399922256396397,0.339535579865042,0.34999998496344953,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,5.0,0.14901972247012665,0.04029268031171474,0.2638163184280963,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.02681207500784956,0.0405878145890585,0.18456216803747127,0.346511849930647,0.3499999820625544,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,6.0,0.15575576297651628,0.040284847759515595,0.3041051100829108,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.03260761482836813,0.04063673008373434,0.2251745632079108,0.3488372713519186,0.3499999782442512,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,7.0,0.16115442088301557,0.04027673474170076,0.3443859205181949,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.036911451061342054,0.04068460339404451,0.2658353443463199,0.3496124092801403,0.3499999730917694,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,8.0,0.1654795688652235,0.040268381045855756,0.38465849284796594,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.039992600415292096,0.0407314743075745,0.30654349284796595,0.34987078515455966,0.3499999658645867,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,9.0,0.1689429986013304,0.04025981377026184,0.42492260155300415,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.042067998601330425,0.04077736992260559,0.34729802147487915,0.34995690562791104,0.349999955122258,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,10.0,0.17171469745341253,0.040251051626451394,0.46517804324934015,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,0.043312777014455045,0.04082230895067015,0.38809796512434014,0.349985605290809,0.3499999245682814,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,11.0,0.17393109781308957,0.04024210717991842,0.5054246298740922,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,0.043868512079207556,0.04086630395726217,0.4289423740147172,0.34999515147579063,0.34518541676410175,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,12.0,0.1757017071853491,0.0402330262671795,0.5456621929030218,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,0.04384985533349725,0.04090940077889824,0.46983031790302177,0.34678866166799804,0.3183235666045565,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,13.0,0.17711449038338362,0.04022400318541655,0.5858906553571211,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,0.043349915623438484,0.040951793712760295,0.5107609580914961,0.3278119316257037,0.27637265360773455,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,14.0,0.17824025222885195,0.04021523182680592,0.626110172256848,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,0.042444641803611904,0.04099367665102467,0.551733687881848,0.2935190796137243,0.22452710760363376,0.0,False,False,oracle_solution,0.0,False,0.5,False
moderate,21,76,slack_oracle,15.0,0.17913598099385852,0.040206868268665,0.6663210832129997,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,0.0411961661790437,0.041035205671008754,0.5927480851661246,0.24752443160699727,0.1666908334637232,0.0,False,False,oracle_solution,0.0,False,0.5,False
