tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
stress,15,10070,slack_oracle,0.0,0.1082433138383959,0.028373765139639805,0.08728325310030272,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.011756686161604094,0.02838896777635856,0.007283253100302714,0.0,-0.1800000099975759,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,1.0,0.11233585398179992,0.028372208212169115,0.11565612514563314,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.007755881271972367,0.028432733114512863,0.03568646694250814,-0.1138723700721897,-0.35000000999757974,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,2.0,0.1156194072462098,0.02837201179589782,0.14402807823055586,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.004744104413598155,0.028492331620116575,0.06414893760555586,-0.2632524395411796,-0.35000000999758724,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,3.0,0.11825488103500005,0.028372730476139717,0.1724003960527057,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,-0.0025553041501851365,0.028552083503483462,0.0926711870683307,-0.3181310556368589,-0.350000009997597,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,4.0,0.12037072580309283,0.028373742358571263,0.2007736163939603,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.0010558859938893383,0.028611366870290006,0.1212529913939603,-0.33829212876584686,-0.3500000099976095,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,5.0,0.12206969525346252,0.028374829282043653,0.22914789915716183,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,-0.00013795220881457348,0.028669963559387415,0.14989374876653683,-0.3456988182677112,-0.3500000099976246,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,6.0,0.12343413840504766,0.028375919478574565,0.25752327472518965,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.0002859902568995154,0.02872780180279331,0.17859272785018965,-0.34841985643002427,-0.3500000099976422,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,7.0,0.12453010748235624,0.02837699351810576,0.28589973353308734,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.0002871376606827236,0.028784862170449513,0.20734915736121234,-0.349419499884628,-0.3500000099976622,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,8.0,0.12541060382353733,0.02837805005954282,0.3142772576887539,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,-7.636462639407093e-05,0.028841143321261562,0.23616225768875393,-0.3497867446554642,-0.35000000999768444,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,9.0,0.12611816438160678,0.028379093498104812,0.3426558315684022,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,-0.000756835618393209,0.028896649650448563,0.2650312514902772,-0.3499216614811533,-0.35000000999770886,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,10.0,0.12668693087086955,0.028380129612023304,0.3710354448946344,0.12840192043895748,-0.0005712573242187546,0.077080078125,0.05840192043895748,0.1984019204389575,-0.08,0.08,-0.001714989568087938,0.02895138693624206,0.2939553667696344,-0.3499712266521327,-0.3500000099977353,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,11.0,0.1271443080368574,0.02838116411393339,0.39941609322037014,0.13006258573388202,-0.0006241967773437523,0.076482255859375,0.06006258573388201,0.20006258573388203,-0.08,0.08,-0.0029182776970246294,0.029005360891277143,0.3229338373609951,-0.34998943569435675,-0.35000000999776354,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,12.0,0.12751229374501755,0.028382202241444433,0.4277977775962317,0.13185185185185186,-0.0006763745117187442,0.075831875,0.06185185185185185,0.20185185185185187,-0.08,0.08,-0.0043395581068343125,0.029058576753163177,0.35196590259623173,-0.34999612525504514,-0.3500000099977934,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,13.0,0.1278085462454297,0.028383248706464505,0.4561805040489181,0.13376457475994513,-0.000727790527343744,0.075129697265625,0.06376457475994513,0.20376457475994514,-0.08,0.08,-0.005956028514515432,0.02911103923380825,0.38105080678329306,-0.3499985828374857,-0.35000000999782477,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,14.0,0.12804724069826967,0.02838430775756295,0.4845642830802214,0.13579561042524005,-0.0007784448242187519,0.074376484375,0.06579561042524004,0.20579561042524006,-0.08,0.08,-0.007748369726970378,0.029162752581781703,0.41018779870522143,-0.34999948569371486,-0.35000000999785735,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,15.0,0.12823975662829898,0.028385383268732446,0.5129491292467946,0.13793981481481482,-0.000828337402343754,0.073572998046875,0.06793981481481481,0.20793981481481483,-0.08,0.08,-0.009700058186515842,0.0292137206710762,0.4393761311999196,-0.34999981738122615,-0.350000009997891,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,16.0,0.1283952297030234,0.02838647882574185,0.5413350608291702,0.1401920438957476,-0.0008774682617187501,0.07272,0.0701920438957476,0.2101920438957476,-0.08,0.08,-0.011796814192724214,0.0292639470874606,0.46861506082917015,-0.34999993923519795,-0.35000000999792535,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,17.0,0.12852099462036892,0.028387597801961983,0.5697220995823176,0.1425471536351166,-0.0009258374023437543,0.071818251953125,0.0725471536351166,0.21254715363511661,-0.08,0.08,-0.014026159014747686,0.029313435204305738,0.4979038476291926,-0.34999998400141485,-0.35000000999796027,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
stress,15,10070,slack_oracle,18.0,0.12862294059893606,0.028388743422672644,0.5981102705562921,0.145,-0.0009734448242187527,0.070868515625,0.07499999999999998,0.215,-0.08,0.08,-0.01637705940106393,0.029362188246891397,0.5272417549312921,-0.35000000044745966,-0.3500000099979953,0.0,False,False,oracle_solution,0.0,False,0.977250386030037,False
