tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,corridor_violation
moderate,11,66,slack_oracle,0.0,0.09726367930063026,0.05237034123419307,0.08118891616634445,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.022736320699369733,0.05238554387091182,0.0011889161663444503,21.012104371718653,82000.0,96.02726214802813,0.0,0.18000000999971394,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,1.0,0.1250638482415642,0.05236694364333741,0.1335578474026365,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,0.004972112987791905,0.05242746854568116,0.053588189199511485,21.00908182581111,81995.44873046875,96.0685602298398,0.13081337382513988,0.3500000099997073,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,2.0,0.14736989104531392,0.052360950569943165,0.18592211058015423,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,0.02700637938550597,0.05248127039416192,0.10604296995515423,21.00134410223131,81981.87109375,96.20356559270985,0.29010527261683544,0.3500000099996988,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,3.0,0.16526469185063455,0.05235335380776283,0.23827938588096093,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,0.04445450666544937,0.05253270683510657,0.1585501768965859,20.98953738670099,81959.38134765625,96.436825736233,0.33363322948436863,0.3500000099996877,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,4.0,0.1796184089332393,0.05234490806237491,0.2906285799686024,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,0.058191797136257134,0.052582532574093656,0.2111079549686024,20.973993032370615,81928.09375,96.77030507346042,0.34552763870061176,0.35000000999967273,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,5.0,0.19112972729038302,0.05233588862691828,0.34296901930102863,0.1222076474622771,-0.0002951342773437615,0.079254150390625,0.05220764746227709,0.1922076474622771,-0.08,0.08,0.06892207982810593,0.05263102290426204,0.26371486891040363,20.95494384003998,81888.12255859375,97.20537020188468,0.34877789395687436,0.35000000999965236,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,False
moderate,11,66,slack_oracle,6.0,0.20035951127388585,0.052326424086661175,0.3953002059635142,0.12314814814814815,-0.0003518823242187469,0.07893054687500001,0.05314814814814814,0.19314814814814815,-0.08,0.08,0.0772113631257377,0.05267830641087992,0.31636965908851417,20.932572348428415,81839.58203125,97.74323405265748,0.34966605570065357,0.3500000099996256,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,7.0,0.20775795121636653,0.05231659040710397,0.44762173688780693,0.12424296982167352,-0.00040786865234375413,0.078550576171875,0.05424296982167351,0.19424296982167352,-0.08,0.08,0.08351498139469302,0.052724459059447726,0.36907116071593193,20.907030470688255,81782.58642578125,98.38513610383856,0.34990875395690374,0.3500000099995915,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,8.0,0.2136863899235481,0.052306439186912176,0.4999332705708427,0.1254869684499314,-0.00046309326171874166,0.078115,0.055486968449931395,0.1954869684499314,-0.08,0.08,0.0881994214736167,0.05276953244863092,0.4218182705708427,20.878449470932924,81717.25,99.13243363161222,0.3499750734578079,0.3500000099995486,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
moderate,11,66,slack_oracle,9.0,0.2184348520787355,0.05229600738425224,0.5522345090353743,0.126875,-0.0005175561523437511,0.077624580078125,0.05687499999999998,0.196875,-0.08,0.08,0.09155985207873552,0.05281356353659599,0.4746099289572493,20.84694573386822,81643.68701171875,99.98665450606008,0.34999319586322686,0.3500000099994946,0.0,False,False,oracle_solution,0.0,False,0.665381683907133,True
