tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,solver_status,solve_time_s,oracle_feasible,oracle_near_feasible,oracle_max_alpha_miss_rad,oracle_max_q_miss_radps,oracle_alpha_violation_duration_s,first_alpha_violation_time_s,first_alpha_violation_side,actuator_tau_prediction_s,predicted_max_alpha_slack_rad,predicted_max_q_slack_radps,objective_value,trajectory_csv,metrics_json
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,truth_consistent_slack_oracle,Solve_Succeeded,0.11681758298072964,True,True,0.0,0.0,0.0,,none,0.5,3.045539207838897e-09,1.963035840202853e-08,92.35681723103393,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_000/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_000/oracle_metrics.json
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,truth_consistent_slack_oracle,Solve_Succeeded,0.10470395802985877,True,True,0.0,0.0,0.0,,none,0.5,1.8604646190171964e-09,1.7415789638734576e-08,49.970224393951256,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_001/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_001/oracle_metrics.json
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,truth_consistent_slack_oracle,Solve_Succeeded,0.10573804099112749,True,True,0.0,0.0,0.0,,none,0.5,3.193891012598507e-09,2.0327212884399384e-08,77.89421505801371,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_002/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_002/oracle_metrics.json
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,truth_consistent_slack_oracle,Solve_Succeeded,0.14968733408022672,False,True,0.007441867940675112,0.0,10.0,9.0,high,0.796034526618957,0.007441857940676505,1.9737974149515812e-07,40968.84938225735,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_003/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_003/oracle_metrics.json
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,truth_consistent_slack_oracle,Solve_Succeeded,0.10601704195141792,True,True,0.0,0.0,0.0,,none,0.5,2.5958549048203104e-09,1.7795245445601965e-08,121.4489886831109,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_004/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_004/oracle_metrics.json
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,truth_consistent_slack_oracle,Solve_Succeeded,0.16119795897975564,False,True,0.015838208659997716,0.0,16.0,7.0,high,0.8021514856561525,0.015838198659998505,4.100050917550965e-07,249612.51885936953,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_005/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_005/oracle_metrics.json
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,truth_consistent_slack_oracle,Solve_Succeeded,0.16490012500435114,False,True,0.01548016890577017,0.0,15.0,7.0,high,0.6518134776062082,0.015480158905770834,4.847116439968948e-07,238664.33955172315,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_006/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_006/oracle_metrics.json
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,truth_consistent_slack_oracle,Solve_Succeeded,0.17389108298812062,False,False,0.025452636397873818,0.0,19.0,6.0,high,0.5,0.025452626397874004,2.6831270557022387e-07,776956.2625622038,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_007/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_007/oracle_metrics.json
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,truth_consistent_slack_oracle,Solve_Succeeded,0.11241383291780949,True,True,0.0,0.0,0.0,,none,0.5,3.1573496078138785e-09,1.480342607123855e-08,149.14246900290001,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_008/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_008/oracle_metrics.json
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,truth_consistent_slack_oracle,Solve_Succeeded,0.1102160409791395,True,True,0.0,0.0,0.0,,none,0.8004460999595138,4.105357846566984e-09,2.467086760358334e-08,139.1470594395354,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_009/oracle_trajectory.csv,outputs/phase23_feasibility_ceiling_audit/moderate/scenario_009/oracle_metrics.json
