tier,scenario_id,seed,controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,alpha_error_rad,q_error_rad,theta_error_rad,mach,altitude_m,velocity_mps,dynamic_pressure_pa,delta_flap_rad,delta_flap_raw_rad,delta_flap_rate_radps,flap_saturated,flap_rate_saturated,solver_status,solve_time_s,solver_failure,actuator_tau_prediction_s,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,external_disturbance_moment_nm,corridor_violation,oracle_near_feasible,alpha_error_to_center_rad,alpha_margin_low_rad,alpha_margin_high_rad,dynamic_pressure_scaled,mach_scaled,actuator_tau_s,alpha_min_rate_radps,alpha_max_rate_radps
moderate,0,55,truth_consistent_slack_oracle,0.0,0.0847328564922095,0.0433026500252031,0.0840766757111884,0.12,-1.5202636718752991e-05,0.08,0.0499999999999999,0.19,-0.08,0.08,-0.0352671435077904,0.0433178526619218,0.0040766757111884,21.012104371718653,82000.0,6200.0,105.59884240399307,0.0,0.1799999849919228,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,-0.03526714350779045,0.034732856492209606,0.1052671435077905,0.010559884240399307,1.0506052185859327,0.5,0.0,0.0
moderate,0,55,truth_consistent_slack_oracle,1.0,0.1068256019789541,0.0432074457316898,0.1273321300691732,0.1200917352537722,-6.052490234374763e-05,0.079969658203125,0.0500917352537722,0.1900917352537723,-0.08,0.08,-0.0132661332748181,0.0432679706340336,0.0473624718660482,21.00908182581111,81995.44873046875,6199.108143368448,105.64425689916108,0.1199999899946152,0.3499998289108606,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,-0.01326613327481814,0.0567338667251819,0.08326613327481819,0.010564425689916107,1.0504540912905553,0.5,9.173525377230429e-05,9.173525377229041e-05
moderate,0,55,truth_consistent_slack_oracle,2.0,0.1244689687304494,0.0431096988575251,0.1704911823240063,0.1203635116598079,-0.0001203198242187,0.079879140625,0.0503635116598079,0.1903635116598079,-0.08,0.08,0.0041054570706414,0.0432300186817438,0.0906120416990063,21.00134410223131,81981.87109375,6196.824988604601,105.79271901000864,0.2733332159387788,0.3499999818529201,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.0041054570706414995,0.07410545707064149,0.0658945429293585,0.010579271901000864,1.0500672051115656,0.5,0.00027177640603569947,0.0002717764060355954
moderate,0,55,truth_consistent_slack_oracle,3.0,0.1385395648152768,0.0430106824310873,0.2135515639682408,0.1208101851851851,-0.0001793530273437,0.079729208984375,0.0508101851851851,0.1908101851851852,-0.08,0.08,0.0177293796300916,0.043190035458431,0.1338223549838658,20.98953738670099,81959.38134765625,6193.341204448907,106.0492295111314,0.324444393214873,0.3499999799104687,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.01772937963009165,0.0877293796300917,0.0522706203699084,0.01060492295111314,1.0494768693350496,0.5,0.00044667352537719474,0.00044667352537730576
moderate,0,55,truth_consistent_slack_oracle,4.0,0.1497422047468416,0.0429108972266305,0.2565124421451442,0.1214266117969821,-0.0002376245117187,0.079520625,0.0514266117969821,0.1914266117969821,-0.08,0.08,0.0283155929498594,0.0431485217383493,0.1769918171451442,20.973993032370615,81928.09375,6188.754562618874,106.41594861973807,0.3414814510119368,0.3499999775022615,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.02831559294985951,0.0983155929498595,0.04168440705014048,0.010641594861973807,1.0486996516185307,0.5,0.0006164266117970052,0.0006164266117968942
moderate,0,55,truth_consistent_slack_oracle,5.0,0.1586427208776327,0.0428105698598798,0.2993732247527219,0.1222076474622771,-0.0002951342773437,0.079254150390625,0.052207647462277,0.1922076474622771,-0.08,0.08,0.0364350734153556,0.0431057041372235,0.2201190743620969,20.95494384003998,81888.12255859375,6183.133755185188,106.89437914982156,0.3471604686721533,0.3499999745317785,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.036435073415355665,0.10643507341535571,0.03356492658464438,0.010689437914982156,1.047747192001999,0.5,0.0007810356652948949,0.000781035665294999
moderate,0,55,truth_consistent_slack_oracle,6.0,0.1656953212206038,0.042709822024241,0.3421334526171071,0.1231481481481481,-0.0003518823242187,0.078930546875,0.0531481481481481,0.1931481481481481,-0.08,0.08,0.0425471730724557,0.0430617043484597,0.2632029057421071,20.932572348428415,81839.58203125,6176.532643486048,107.48585493224058,0.3490534725785701,0.3499999708550758,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.0425471730724557,0.1125471730724557,0.027452826927544305,0.010748585493224059,1.0466286174214208,0.5,0.0009405006858710999,0.0009405006858710097
moderate,0,55,truth_consistent_slack_oracle,7.0,0.1712645925179442,0.0426087296228199,0.3847927514077817,0.1242429698216735,-0.0004078686523437,0.078550576171875,0.0542429698216735,0.1942429698216735,-0.08,0.08,0.0470216226962706,0.0430165982751636,0.3062421752359067,20.907030470688255,81782.58642578125,6168.996052234287,108.1917389908424,0.3496844714295739,0.3499999662578341,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.04702162269627071,0.1170216226962707,0.022978377303729286,0.010819173899084239,1.0453515235344129,0.5,0.0010948216735254049,0.001094821673525398
moderate,0,55,truth_consistent_slack_oracle,8.0,0.1756431763446501,0.0425073446685723,0.4273508059327626,0.1254869684499314,-0.0004630932617187,0.078115,0.0554869684499313,0.1954869684499314,-0.08,0.08,0.0501562078947186,0.042970437930291,0.3492358059327626,20.878449470932924,81717.25,6160.562713271744,109.01352388920404,0.3498948013150808,0.3499999604142726,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.05015620789471875,0.1201562078947188,0.01984379210528131,0.010901352388920404,1.0439224735466461,0.5,0.0012439986282577961,0.001243998628257914
moderate,0,55,truth_consistent_slack_oracle,9.0,0.1790659623795611,0.0424057043200231,0.4698073438485007,0.126875,-0.0005175561523437,0.077624580078125,0.0568749999999999,0.196875,-0.08,0.08,0.0521909623795611,0.0429232604723668,0.3921827637703757,20.84694573386822,81643.68701171875,6151.266968002932,109.95288978885831,0.3499649073812086,0.3499999528107143,0.0,False,False,oracle_solution,0.0,False,0.5,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,-2288.5715472335214,False,True,0.05219096237956114,0.1221909623795612,0.017809037620438894,0.01099528897888583,1.0423472866934111,0.5,0.0013880315500685997,0.0013880315500685858
