controller,time_s,alpha_rad,q_radps,theta_rad,alpha_ref_rad,q_ref_radps,theta_ref_rad,alpha_min_rad,alpha_max_rad,q_min_radps,q_max_radps,delta_flap_raw_rad,delta_flap_rad,delta_flap_rate_radps,flap_min_rad,flap_max_rad,flap_rate_min_radps,flap_rate_max_radps,flap_saturated,flap_rate_saturated,corridor_violation,alpha_error_rad,q_error_rad,theta_error_rad,pitching_moment_nm,cm,flap_effectiveness,altitude_m,velocity_mps,mach,density_kgm3,dynamic_pressure_pa
pid,0.0,0.08499999999999999,-1.5202636718752993e-05,0.10500000000000001,0.12,-1.5202636718752993e-05,0.08,0.04999999999999999,0.19,-0.08,0.08,-0.0510125,-0.0510125,-0.102025,-0.35,0.35,-0.18,0.18,False,False,False,-0.035,0.0,0.02500000000000001,-20.23222813045674,-0.008230177489884784,0.4015798869488264,82000.0,6200.0,21.012104371718653,4.996215512384398e-06,96.02726214802813
pid,0.5,0.0761386306201075,-1.55238546705503e-05,0.10499231154255398,0.12002304098079561,-3.0341796874999716e-05,0.07999239868164063,0.0500230409807956,0.19002304098079562,-0.08,0.08,-0.06409807559196509,-0.06409807559196509,-0.02617115118393018,-0.35,0.35,-0.18,0.18,False,False,False,-0.0438844103606881,1.4817942204449417e-05,0.024999912860913354,-8.422158565621329,-0.003425672334767752,0.40159248685423254,81998.8598022461,6199.7501458924335,21.01125760388222,4.99711390219752e-06,96.0367883497204
pid,1.0,0.06820021571247037,-1.561755397114247e-05,0.10498452006712669,0.12009173525377229,-6.052490234374763e-05,0.079969658203125,0.05009173525377228,0.1900917352537723,-0.08,0.08,-0.07584181034798557,-0.07584181034798557,-0.023487469512040948,-0.35,0.35,-0.18,0.18,False,False,False,-0.05189151954130192,4.490734837260516e-05,0.02501486186400169,2.1687102492408767,0.0008818206904349793,0.40162486243193063,81995.44873046875,6199.108143368448,21.00908182581111,4.999802534083551e-06,96.0685602298398
pid,1.5,0.0610887170448269,-1.550720172937257e-05,0.10497673339114921,0.12020543981481481,-9.05175781250045e-05,0.07993187377929688,0.0502054398148148,0.1902054398148148,-0.08,0.08,-0.08650585471215944,-0.08650585471215944,-0.02132808872834774,-0.35,0.35,-0.18,0.18,False,False,False,-0.05911672276998791,7.501037639563192e-05,0.025044859611852335,11.707815091002908,0.0047577790162950835,0.4016744554206741,81989.78106689453,6198.124722339112,21.005748963664374,5.004273027224553e-06,96.12395309365006
pid,2.0,0.05471808995799302,-1.5213013576604425e-05,0.10496904841933546,0.12036351165980795,-0.00012031982421875642,0.079879140625,0.050363511659807944,0.19036351165980797,-0.08,0.08,-0.09620898913497679,-0.09620898913497679,-0.019406268845634705,-0.35,0.35,-0.18,0.18,False,False,False,-0.06564542170181492,0.000105106810642152,0.025089907794335467,20.312937786555512,0.00824786615130877,0.4017399997587981,81981.87109375,6196.824988604601,21.00134410223131,5.010518873880362e-06,96.20356559270985
pid,2.5,0.049011243679678594,-1.4752937026494918e-05,0.10496155252278305,0.12056530778463648,-0.00014993164062498954,0.07981155395507812,0.05056530778463647,0.19056530778463648,-0.08,0.08,-0.10505756501019232,-0.10505756501019232,-0.017697151750431073,-0.35,0.35,-0.18,0.18,False,False,True,-0.07155406410495788,0.0001351787035984946,0.02514999856770493,28.089206442676538,0.011393002309562684,0.4018206300465545,81971.73309326172,6195.226102903411,20.995925400097143,5.018535407764194e-06,96.30776829967738
pid,3.0,0.04389910965070709,-1.414289528406938e-05,0.10495432461132084,0.12081018518518519,-0.00017935302734374547,0.07972920898437501,0.05081018518518518,0.1908101851851852,-0.08,0.08,-0.1131467975075852,-0.1131467975075852,-0.016178464994785757,-0.35,0.35,-0.18,0.18,False,False,True,-0.0769110755344781,0.0001652101320596761,0.025225115626945835,35.130408708537445,0.014229850264157476,0.40191568368588926,81959.38134765625,6193.341204448907,20.98953738670099,5.028319775768938e-06,96.436825736233
pid,3.5,0.03931980679046763,-1.3397005665774637e-05,0.10494743609037097,0.12109750085733882,-0.00020858398437501036,0.07963220092773438,0.051097500857338815,0.19109750085733884,-0.08,0.08,-0.12056192388853547,-0.12056192388853547,-0.014830252761900531,-0.35,0.35,-0.18,0.18,False,False,True,-0.08177769406687119,0.00019518697870923572,0.02531523516263659,41.520210967627115,0.016791255398105238,0.40202462079258067,81944.83013916016,6191.180999058791,20.98221634458463,5.03987091292665e-06,96.59094585065694
pid,4.0,0.03521789361542279,-1.2527774499740199e-05,0.10494095171455152,0.12142661179698216,-0.00023762451171874255,0.079520625,0.05142661179698216,0.19142661179698217,-0.08,0.08,-0.12737924129386202,-0.12737924129386202,-0.013634634810653107,-0.35,0.35,-0.18,0.18,False,False,True,-0.08620871818155937,0.00022509673721900236,0.025420326714551522,47.333261496059784,0.01910664150315795,0.40214698367832524,81928.09375,6188.754562618874,20.973993032370615,5.053189520492585e-06,96.77030507346042
pid,4.5,0.03154369817414743,-1.1546270761228572e-05,0.10493493034921085,0.121796875,-0.00026647460937499756,0.07939457641601563,0.05179687499999999,0.191796875,-0.08,0.08,-0.13366703654242554,-0.13366703654242554,-0.012575590497127032,-0.35,0.35,-0.18,0.18,False,False,True,-0.09025317682585257,0.000254928338613769,0.025540353933195217,52.63617988789303,0.021202366036726185,0.40228237351219553,81909.18646240234,6186.0698038826085,20.964894253212666,5.068278047054289e-06,96.97506275051083
