time_s,solver_status,solve_time_s,objective_value,first_control_action_rad,max_alpha_violation_rad,max_q_violation_radps,max_flap_violation_rad,max_flap_rate_violation_rad,alpha_constraint_active,q_constraint_active,flap_saturated,flap_rate_saturated
0.0,Solve_Succeeded,0.03838033298961818,317.4319625568206,0.3500000066764111,0.000347197063523097,0.0,6.804047492092735e-09,0.0,False,False,True,False
2.0,Solve_Succeeded,0.029811833024723455,336.80366592104133,0.3500000085304389,0.00034719706341501677,0.0,8.530438910803184e-09,0.0,False,False,True,False
4.0,Solve_Succeeded,0.030122249998385087,361.5517946335836,0.3500000066277632,0.00034719706462260636,0.0,6.627763227129435e-09,0.0,False,False,True,False
6.0,Solve_Succeeded,0.030298583005787805,377.21355617504275,0.35000000469074344,0.0003471970653767531,0.0,4.690743460322722e-09,0.0,False,False,True,False
8.0,Solve_Succeeded,0.031900125002721325,382.71328206615595,0.35000000276791987,0.0003471970657465684,0.0,2.767919893287285e-09,0.0,False,False,True,False
10.0,Solve_Succeeded,0.030018791992915794,380.96957387487004,0.3499999996988307,0.0003471970658845691,0.0,0.0,0.0,False,False,True,False
12.0,Solve_Succeeded,0.029686916997889057,375.5258218973438,0.3499999960643246,0.00034719706588459687,0.0,0.0,0.0,False,False,True,False
14.0,Solve_Succeeded,0.029262041993206367,368.2870128282681,0.34999999508594326,0.0,0.0,0.0,0.0,False,False,True,False
16.0,Solve_Succeeded,0.02843333300552331,364.12373992928855,0.34999999415122046,0.0,0.0,0.0,0.0,False,False,True,False
18.0,Solve_Succeeded,0.028612666996195912,363.69179363098823,0.34999999311784447,0.0,0.0,0.0,0.0,False,False,True,False
20.0,Solve_Succeeded,0.028684999997494742,368.36586670718935,0.3499999917902137,0.0,0.0,0.0,0.0,False,False,True,False
22.0,Solve_Succeeded,0.028233874996658415,379.1358176854465,0.3499999898233004,0.0,0.0,0.0,0.0,False,False,True,False
24.0,Solve_Succeeded,0.027128541987622157,396.6793871394555,0.3499999865675281,0.0,0.0,0.0,0.0,False,False,True,False
26.0,Solve_Succeeded,0.028388500009896234,421.40201924883405,0.3499999796331148,0.0,0.0,0.0,0.0,False,False,True,False
28.0,Solve_Succeeded,0.028649874991970137,453.46748328945523,0.34999950951421216,0.0,0.0,0.0,0.0,False,False,True,False
30.0,Solve_Succeeded,0.028794542013201863,492.9008550232634,0.12228764054156399,0.0,0.0,0.0,0.0,False,False,True,False
32.0,Solve_Succeeded,0.028933583991602063,539.5614569418133,-0.19203477812728437,0.0,0.0,0.0,0.0,False,False,True,False
34.0,Solve_Succeeded,0.030017874989425763,593.1498646187716,-0.34999998991345804,0.0,0.0,3.2108601888403143e-09,0.0,False,False,True,False
36.0,Solve_Succeeded,0.0306170420080889,653.2449116663245,-0.3500000032156366,0.0,0.0,5.047803952606955e-09,0.0,False,False,True,False
38.0,Solve_Succeeded,0.02881704198080115,719.274647385932,-0.3500000054273719,0.0,0.0,6.2488607621702386e-09,0.0,False,False,True,False
40.0,Solve_Succeeded,0.029086624999763444,790.5626214450042,-0.35000000663461683,0.0,0.0,7.039949900811138e-09,0.0,False,False,True,False
42.0,Solve_Succeeded,0.029021874972386286,866.344822274988,-0.35000000738961484,0.0,0.0,7.606775376256536e-09,0.0,False,False,True,False
44.0,Solve_Succeeded,0.029291249986272305,945.7793019634455,-0.3500000079022901,0.0,0.0,8.02944616351553e-09,0.0,False,False,True,False
46.0,Solve_Succeeded,0.029451915994286537,1027.9636036363404,-0.3500000077795151,0.0,0.0,7.877394014865757e-09,0.0,False,False,True,False
48.0,Solve_Succeeded,0.029664875008165836,1111.9548364611287,-0.350000007632371,0.0,0.0,7.706779214800008e-09,0.0,False,False,True,False
50.0,Solve_Succeeded,0.031121165986405686,1196.8219407961979,-0.35000000806015186,5.4446596174401174e-05,0.0,8.159082132142004e-09,0.0,True,False,True,False
52.0,Solve_Succeeded,0.03047425000113435,1283.3042744913025,-0.35000000921118407,0.000418576243819746,0.0,9.354680308160113e-09,0.0,True,False,True,False
54.0,Solve_Succeeded,0.03257479099556804,1367.7815731009332,-0.3500000093928622,0.0004185762465087617,0.0,9.501637754372183e-09,0.0,True,False,True,False
56.0,Solve_Succeeded,0.031748499983223155,1450.5423826666424,-0.35000000938790904,0.00041857625070851334,0.0,9.467669981333415e-09,0.0,True,False,True,False
58.0,Solve_Succeeded,0.03128995798761025,1531.7407785181806,-0.35000000938903253,0.0004185762552210148,0.0,9.44007916281464e-09,0.0,True,False,True,False
60.0,Solve_Succeeded,0.030778792017372325,1611.1207225685016,-0.3500000093926385,0.0004185762600585896,0.0,9.418506141667393e-09,0.0,True,False,True,False
62.0,Solve_Succeeded,0.031492833979427814,1688.5493731638123,-0.35000000939421555,0.0004185762651990055,0.0,9.400922318381078e-09,0.0,True,False,True,False
64.0,Solve_Succeeded,0.03185237501747906,1764.0203107621205,-0.35000000938690146,0.00041857627055891244,0.0,9.38690147833654e-09,0.0,True,False,True,False
66.0,Solve_Succeeded,0.03119191699079238,1837.6539090325934,-0.35000000935745545,0.00041857627594746316,0.0,9.357455477143617e-09,0.0,True,False,True,False
68.0,Solve_Succeeded,0.030070625012740493,1909.694682019101,-0.35000000927131186,0.00041857628098615485,0.0,9.27131188488417e-09,0.0,True,False,True,False
70.0,Solve_Succeeded,0.028993124986300245,1980.5054351118358,-0.3500000090187094,0.00041857628497396493,0.0,9.018709445918205e-09,0.0,True,False,True,False
72.0,Solve_Succeeded,0.030514084006426856,2050.528409956112,-0.35000000850781504,0.0004185762866917575,0.0,8.507815063563129e-09,0.0,False,False,True,False
74.0,Solve_Succeeded,0.028923583013238385,2118.6390691033457,-0.35000000510237605,0.000229661594255276,0.0,5.102376077203985e-09,0.0,False,False,True,False
76.0,Solve_Succeeded,0.028451999998651445,2188.2689355658563,-0.35000000522677915,0.0,0.0,5.226779176137342e-09,0.0,False,False,True,False
78.0,Solve_Succeeded,0.0283783329941798,2259.077273484931,-0.3500000052949411,0.0,0.0,5.294941096689598e-09,0.0,False,False,True,False
80.0,Solve_Succeeded,0.02949108398752287,2330.9070536327745,-0.3500000052894356,0.0,0.0,5.2894356117327845e-09,0.0,False,False,True,False
82.0,Solve_Succeeded,0.028289167006732896,2404.1380305309385,-0.35000000517973406,0.0,0.0,5.179734086091514e-09,0.0,False,False,True,False
84.0,Solve_Succeeded,0.028636374976485968,2479.155242734313,-0.35000000490695493,0.0,0.0,4.906954953476372e-09,0.0,False,False,True,False
86.0,Solve_Succeeded,0.028647916013142094,2556.345326326561,-0.3500000079472815,0.0,0.0,7.947281499554038e-09,0.0,False,False,True,False
88.0,Solve_Succeeded,0.028457207983592525,2636.0932204799346,-0.3500000075097996,0.0,0.0,7.509799615501578e-09,0.0,False,False,True,False
90.0,Solve_Succeeded,0.028440084017347544,2718.774581795728,-0.35000000636401235,0.0,0.0,6.364012372639394e-09,0.0,False,False,True,False
92.0,Solve_Succeeded,0.029053583013592288,2804.6907414444618,-0.3500000011858012,0.0,0.0,1.1858012349819091e-09,0.0,False,False,True,False
94.0,Solve_Succeeded,0.030993666994618252,2893.676279893339,-0.3005131783045057,0.0,0.0,0.0,0.0,False,False,False,False
96.0,Solve_Succeeded,0.028666375001193956,2984.759974327462,0.05948667090719831,0.0,0.0,0.0,0.0,False,False,False,True
98.0,Solve_Succeeded,0.02850991699961014,3077.4521096344806,0.3499999918347474,0.0,0.0,0.0,0.0,False,False,True,False
100.0,Solve_Succeeded,0.029788541985908523,3171.579823024899,0.34999999239268625,0.0,0.0,0.0,0.0,False,False,True,False
102.0,Solve_Succeeded,0.02966358300182037,3266.7716611736264,0.34999999888584177,0.0,0.0,0.0,0.0,False,False,True,False
104.0,Solve_Succeeded,0.031393749988637865,3362.5760294287543,0.35000000718113067,0.0,0.0,7.18113069009263e-09,0.0,False,False,True,False
106.0,Solve_Succeeded,0.030444083007751033,3458.6594685150544,0.3500000078768725,0.0,0.0,7.876872543111091e-09,0.0,False,False,True,False
108.0,Solve_Succeeded,0.029830707993824035,3554.7358927128957,0.35000000829720146,0.0,0.0,8.297201481433092e-09,0.0,False,False,True,False
