tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,alpha_tightening_margin_rad,q_tightening_margin_radps
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,tightened_nmpc,0.06956281368757394,0.1138106458613016,0.03789366077185252,52.065841600058725,0.0,0.08099688473520249,123,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_000/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_000/metrics.json,0.035,0.01
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,tightened_nmpc,0.04853002341899657,0.08795928360600835,0.04108558179402059,49.69402418395932,0.0,0.13395638629283488,65,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_001/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_001/metrics.json,0.035,0.01
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,tightened_nmpc,0.0407799274012617,0.07090119917363852,0.04350679960857559,49.65964099411572,0.0,0.1277258566978193,0,0,False,False,success,outputs/phase6_robust_mpc/moderate/scenario_002/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_002/metrics.json,0.035,0.01
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,tightened_nmpc,0.03527420495410823,0.07746894545254968,0.048607018242964414,52.142315909186095,0.0,0.07165109034267912,21,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_003/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_003/metrics.json,0.035,0.01
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,tightened_nmpc,0.06277895305189934,0.1017819035493803,0.039771407976386966,49.57255675969943,0.0,0.16199376947040497,103,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_004/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_004/metrics.json,0.035,0.01
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,tightened_nmpc,0.04088838386349893,0.08584403491522091,0.04777568248183986,51.927250025321925,0.0,0.06542056074766354,31,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_005/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_005/metrics.json,0.035,0.01
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,tightened_nmpc,0.04180341049317019,0.08554521328446985,0.04722281145746495,48.4305525110976,0.0,0.16199376947040497,30,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_006/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_006/metrics.json,0.035,0.01
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,tightened_nmpc,0.0487533984057244,0.0954819010909298,0.04648802588803537,48.89072200326363,0.0,0.14641744548286603,38,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_007/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_007/metrics.json,0.035,0.01
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,tightened_nmpc,0.05733028307918834,0.0914953702031952,0.04138087003309467,50.186822548548605,0.0,0.1277258566978193,82,0,False,False,alpha_corridor_violation,outputs/phase6_robust_mpc/moderate/scenario_008/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_008/metrics.json,0.035,0.01
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,tightened_nmpc,0.04202399479746141,0.06674319649592803,0.044605237548952764,49.92491288561227,0.0,0.10903426791277258,0,0,False,False,success,outputs/phase6_robust_mpc/moderate/scenario_009/trajectory.csv,outputs/phase6_robust_mpc/moderate/scenario_009/metrics.json,0.035,0.01
