tier,scenario_id,seed,density_scale,cm_alpha_scale,cm_delta_scale,cm_q_scale,actuator_lag_s,actuator_delay_s,sensor_noise_alpha_rad,sensor_noise_q_radps,sensor_noise_theta_rad,initial_alpha_error_rad,initial_q_error_radps,initial_theta_error_rad,external_disturbance_moment_nm,controller,rms_alpha_error_rad,max_alpha_error_rad,rms_pitch_rate_error_radps,control_effort_abs_rad_s,flap_saturation_fraction,flap_rate_saturation_fraction,alpha_violation_count,pitch_rate_violation_count,solver_failure,unstable_response,failure_label,trajectory_csv,metrics_json,design_scenario_count
moderate,0,55,1.099675655036485,1.1111936835149023,0.8873447595370492,0.8920388602447822,0.17246008473590804,0.5,0.002112697278039903,0.001420628984150504,0.00020335583094168374,-0.03526714350779047,0.043317852661921875,0.00407667571118842,-2288.5715472335214,scenario_nmpc,0.06939790590650774,0.11395244233899873,0.037958776031858404,48.19573740785159,0.0,0.09657320872274143,123,0,True,False,solver_failure,outputs/phase7_scenario_mpc/moderate/scenario_000/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_000/metrics.json,3
moderate,1,56,1.067837814989062,0.8550708443435929,1.1923204271077104,1.08984168484952,0.19047425565328424,0.0,0.001819893511792798,0.0005389072581292835,0.0017670007129131713,-0.042169232542380676,0.037161912636399425,0.003739433990046943,1888.1114567916945,scenario_nmpc,0.0480285846971495,0.08828603780442915,0.04134853820394049,46.05908479393159,0.0,0.0778816199376947,65,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_001/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_001/metrics.json,3
moderate,2,57,1.0552500109466625,0.9904935904652705,1.1364934679007512,0.9361279231434767,0.13783755517640428,0.5,0.0012876544132459234,0.0010895091536253408,0.0008726206962965641,-0.03988767505303118,0.0403012765601704,-0.0006989770439637954,2243.631407086245,scenario_nmpc,0.04009639687991143,0.07130545286533249,0.0437629630536913,47.75406199689063,0.0,0.09345794392523364,7,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_002/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_002/metrics.json,3
moderate,3,58,0.9427035401698733,1.1139500827692312,0.8972365808628847,0.8833681862461437,0.2960345266189571,1.0,0.0009159976169144701,0.00020772178158287347,0.001579716448980541,-0.02224949176908563,0.04723591983330609,-0.009198019703474421,2252.732574594433,scenario_nmpc,0.03508781633678261,0.07746894545255323,0.04876762125884777,49.910088710384805,0.0,0.056074766355140186,21,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_003/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_003/metrics.json,3
moderate,4,59,1.0263241475999092,1.0978198504596506,0.8467775120989001,0.9509718434702744,0.06519182255015281,0.0,1.745874008911086e-05,0.0014589760408944903,0.00031099084968804126,-0.02196446416086214,0.04507563176598882,0.008256747261127528,-1953.0550355784214,scenario_nmpc,0.062509137281128,0.10198413659311478,0.0399083541329397,47.28137848526958,0.0,0.13707165109034267,103,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_004/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_004/metrics.json,3
moderate,5,60,0.9472851438103829,0.8581439175685014,0.8218883549768894,1.1961966085206186,0.3021514856561525,1.0,0.002904553797721493,0.0014873038666191403,0.0011797634968893586,-0.040412614765709766,0.050130858041308214,-0.01917497838311747,339.20421081160555,scenario_nmpc,0.040072723484470975,0.08584403491522277,0.048094767174390624,49.436999373269174,0.0,0.12461059190031153,31,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_005/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_005/metrics.json,3
moderate,6,61,0.9623122848632923,1.08158068545768,1.068457241400226,1.0836619346162633,0.15181347760620825,1.0,0.002994278568569675,0.0014215992020767117,0.0005768931239277049,-0.029436407225376708,0.04991251707174247,0.004186027688699627,365.6368989117598,scenario_nmpc,0.04172075818954277,0.08554521328447165,0.047268809469185526,48.328312152642425,0.0,0.13395638629283488,30,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_006/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_006/metrics.json,3
moderate,7,62,1.0327960500573494,1.0743319912045537,1.112278953735189,0.9151421317114131,0.24263274437772925,0.5,0.0015409049665688031,0.001310924831518817,0.0024801614615146002,-0.042927603471438924,0.053090159356097025,-0.0191536012615999,-1423.905416998581,scenario_nmpc,0.048531904668995936,0.09548190109093097,0.04653297973442602,44.23635993032835,0.0,0.1277258566978193,38,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_007/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_007/metrics.json,3
moderate,8,63,1.0180238115686702,1.1476776606578871,0.8786749505372946,1.0021150448890466,0.07013268800964144,0.5,0.0011028593964723177,0.0004317192519537778,0.0012412082361867287,-0.020315401459835056,0.04644377946404173,-0.0004817541018459792,-1592.455564172357,scenario_nmpc,0.057197127791949506,0.09172596318730944,0.04146673041836185,47.160371239998156,0.0,0.09345794392523364,83,0,False,False,alpha_corridor_violation,outputs/phase7_scenario_mpc/moderate/scenario_008/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_008/metrics.json,3
moderate,9,64,1.1330480358221209,1.0070018887422227,0.8262843749716177,0.9274235112624596,0.30044609995951377,1.0,0.0029560957500721105,0.0009380721776113753,0.000451621436160318,-0.04898561862990772,0.04491250406958837,0.0022242335183021524,968.9782197362363,scenario_nmpc,0.04182308562102054,0.06691774878994716,0.04470478369282601,46.54772298828107,0.0,0.11838006230529595,0,0,False,False,success,outputs/phase7_scenario_mpc/moderate/scenario_009/trajectory.csv,outputs/phase7_scenario_mpc/moderate/scenario_009/metrics.json,3
